============================================================================
POINTCLOUD TRAINING JOB
============================================================================
Job started at: Fri Dec  5 04:12:47 CST 2025
Job ID: 2789723
Running on node: c315-001.ls6.tacc.utexas.edu
CUDA Version: nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2025 NVIDIA Corporation
Built on Wed_Jan_15_19:20:09_PST_2025
Cuda compilation tools, release 12.8, V12.8.61
Build cuda_12.8.r12.8/compiler.35404655_0
PyTorch sees GPU: True 1 NVIDIA A100-PCIE-40GB
Dataset mode:  train
[Dataset Loaded] train: 61000 image-pointcloud pairs loaded.
Dataset mode:  test
[Dataset Loaded] test: 6780 image-pointcloud pairs loaded.
Train samples: 61000, Test samples: 6780
Using device: cuda
Epoch 1/50 → Train Loss = 0.5053, Val Loss = 869.6183
Epoch 2/50 → Train Loss = 0.4554, Val Loss = 685.1768
Epoch 3/50 → Train Loss = 0.3160, Val Loss = 631.1740
Epoch 4/50 → Train Loss = 0.1489, Val Loss = 191.0879
Epoch 5/50 → Train Loss = 0.2090, Val Loss = 231.0259
Epoch 6/50 → Train Loss = 0.0951, Val Loss = 362.9984
Epoch 7/50 → Train Loss = 0.1017, Val Loss = 409.1485
Epoch 8/50 → Train Loss = 0.1215, Val Loss = 342.6122
Epoch 9/50 → Train Loss = 0.1169, Val Loss = 247.1019
Epoch 10/50 → Train Loss = 0.0978, Val Loss = 188.2102
Epoch 11/50 → Train Loss = 0.0914, Val Loss = 167.9865
Epoch 12/50 → Train Loss = 0.0967, Val Loss = 165.3236
Epoch 13/50 → Train Loss = 0.0979, Val Loss = 168.4675
Epoch 14/50 → Train Loss = 0.0889, Val Loss = 191.5490
Epoch 15/50 → Train Loss = 0.0850, Val Loss = 222.8599
Epoch 16/50 → Train Loss = 0.0872, Val Loss = 243.6224
Epoch 17/50 → Train Loss = 0.0847, Val Loss = 236.8256
Epoch 18/50 → Train Loss = 0.0884, Val Loss = 215.7902
Epoch 19/50 → Train Loss = 0.0895, Val Loss = 194.1560
Epoch 20/50 → Train Loss = 0.0822, Val Loss = 178.4339
Epoch 21/50 → Train Loss = 0.0796, Val Loss = 171.1320
Epoch 22/50 → Train Loss = 0.0833, Val Loss = 169.0086
Epoch 23/50 → Train Loss = 0.0817, Val Loss = 168.7217
Epoch 24/50 → Train Loss = 0.0891, Val Loss = 168.6655
Epoch 25/50 → Train Loss = 0.0825, Val Loss = 168.9536
Epoch 26/50 → Train Loss = 0.0913, Val Loss = 167.6454
Epoch 27/50 → Train Loss = 0.0876, Val Loss = 165.4767
Epoch 28/50 → Train Loss = 0.0831, Val Loss = 162.7673
Epoch 29/50 → Train Loss = 0.0943, Val Loss = 162.0280
Epoch 30/50 → Train Loss = 0.0853, Val Loss = 162.3938
Epoch 31/50 → Train Loss = 0.0812, Val Loss = 162.1431
Epoch 32/50 → Train Loss = 0.0918, Val Loss = 161.4289
Epoch 33/50 → Train Loss = 0.0866, Val Loss = 162.0852
Epoch 34/50 → Train Loss = 0.0891, Val Loss = 163.3623
Epoch 35/50 → Train Loss = 0.0811, Val Loss = 163.1524
Epoch 36/50 → Train Loss = 0.0895, Val Loss = 162.0872
Epoch 37/50 → Train Loss = 0.0906, Val Loss = 161.3084
Epoch 38/50 → Train Loss = 0.0826, Val Loss = 161.5257
Epoch 39/50 → Train Loss = 0.0893, Val Loss = 161.4696
Epoch 40/50 → Train Loss = 0.0920, Val Loss = 161.3829
Epoch 41/50 → Train Loss = 0.0747, Val Loss = 162.0436
Epoch 42/50 → Train Loss = 0.0824, Val Loss = 162.7862
Epoch 43/50 → Train Loss = 0.0740, Val Loss = 163.0082
Epoch 44/50 → Train Loss = 0.0870, Val Loss = 162.3960
Epoch 45/50 → Train Loss = 0.0883, Val Loss = 161.9249
Epoch 46/50 → Train Loss = 0.0874, Val Loss = 161.8559
Epoch 47/50 → Train Loss = 0.0836, Val Loss = 161.8548
Epoch 48/50 → Train Loss = 0.0828, Val Loss = 161.8059
Epoch 49/50 → Train Loss = 0.0797, Val Loss = 161.8851
Epoch 50/50 → Train Loss = 0.0879, Val Loss = 161.8682
Training complete.
